#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
197.97809 34.382884 0.0382966 16.84976 17.42988 16.32876 3.705383
205.35352 29.8013 0.03733123 17.58933 18.02349 17.05988 2.10217
206.01394 30.108124 0.03875276 15.67794 16.36126 15.01602 4.727187
185.94383 32.452318 0.03800368 16.13261 16.84476 15.44825 3.19668
205.26192 30.094833 0.03932471 17.12588 17.41158 17.74874 4.004428
205.42669 30.125433 0.03703455 13.99766 14.71704 13.43587 8.918243
206.00895 30.063009 0.03906588 17.26737 17.64676 17.50669 3.546965
206.10273 29.904097 0.03937664 14.96274 15.66872 14.44811 5.548456
206.10752 29.901247 0.03887209 21.15758 21.44128 20.90202 0.8194236
206.07024 29.903383 0.03711455 17.73872 18.2391 17.75381 4.592306
202.61273 31.275655 0.03844775 15.5537 16.10639 15.02524 5.597674
201.38478 31.892555 0.03789645 17.20787 17.62526 16.76901 1.473855
203.90697 28.918959 0.03949545 19.44712 19.97096 19.52085 1.189654
199.249 29.95258 0.03739769 16.06255 16.71768 15.47206 3.141198
199.24436 29.980901 0.03734086 17.30571 17.5937 17.10349 2.456733
199.23848 30.054036 0.03733381 17.10249 17.39039 16.8125 2.184896
205.96611 27.785127 0.03799753 17.61747 17.93843 17.27425 1.436493
203.80156 28.132661 0.03922978 16.19067 16.71368 15.54374 4.377047
204.74239 27.556042 0.0371314 17.50384 17.82184 18.08956 5.128522
204.76469 27.578908 0.03706844 16.04721 16.53399 15.57931 3.013059
195.86501 32.939842 0.03709844 18.09725 18.16523 17.88206 1.267782
190.55887 33.381687 0.03834882 14.52621 15.36605 13.83346 4.369073
190.527 33.278836 0.03836973 17.6377 18.08443 17.6111 3.499288
190.49254 33.352707 0.03886269 16.8144 17.31442 16.4866 4.968819
201.70391 31.975382 0.03739503 17.25284 17.61633 16.85384 3.139101
201.39827 31.930247 0.03750585 15.56294 16.14794 14.93907 5.281263
194.82187 32.646302 0.03719628 16.20534 16.77229 15.68013 2.443078
209.122 30.310274 0.03918258 16.80873 17.11122 16.45743 3.101795
197.26615 32.067921 0.03723687 17.34468 17.69208 16.89236 1.885849
202.65233 31.035621 0.03819793 16.23309 16.98501 15.59231 4.385526
207.45114 29.694089 0.03873553 14.59641 15.41652 13.87257 3.378144
207.08516 29.7518 0.03877141 17.09369 17.67048 16.54637 3.906206
205.48105 29.979292 0.03763585 16.38463 16.97834 15.82462 4.133782
203.29605 30.449472 0.03848057 15.52555 16.04545 14.98947 4.767406
206.1999 25.455509 0.03792921 16.35266 16.64243 16.04669 5.464689
206.25949 25.32543 0.03789526 16.07341 16.53487 15.76996 4.576893
203.20937 30.357413 0.03863894 16.26039 16.75876 15.7165 2.16604
202.49069 30.642062 0.0372691 16.81186 17.35171 16.21919 4.114398
187.27203 31.667083 0.03892205 16.90348 17.35398 16.52778 2.302857
201.64919 26.34623 0.03714576 17.6209 18.11804 17.19451 2.19758
187.24512 31.659835 0.0384843 16.34644 17.02691 15.75361 3.064528
187.24512 31.659835 0.03850986 16.34644 17.02691 15.75361 3.064528
186.43442 31.835926 0.03802688 16.84773 17.19457 16.57746 5.109791
208.85096 25.291449 0.03701111 15.27825 16.15643 14.41823 5.082503
208.84936 25.29343 0.03773842 21.93063 22.16464 21.6893 0.6515372
208.88655 25.245766 0.03718771 16.26884 16.99293 15.65705 3.259481
186.34537 31.826553 0.03794649 14.78566 15.37699 14.20439 3.523525
201.53922 26.77009 0.03714085 16.65035 17.02078 16.35589 4.003738
207.64361 29.372889 0.03827827 14.5123 15.03041 14.0554 5.91134
202.7068 30.161626 0.03756885 17.75699 18.1879 17.37034 2.044946
201.26114 32.552956 0.03850715 14.82448 15.61863 14.15076 2.190943
201.17081 32.559231 0.03862443 15.89244 16.63409 15.29052 1.651106
201.16689 32.563189 0.03941689 14.27184 15.09016 13.63226 5.173069
193.05973 33.338876 0.0377715 16.38557 16.77641 16.07609 3.578429
191.91304 33.422847 0.03814372 17.45251 17.65956 17.23196 4.882966
203.16958 31.986452 0.03871939 15.84028 16.42819 15.25006 3.754928
201.65278 32.192978 0.03732678 17.76729 17.94551 17.27217 4.013647
200.65714 32.244295 0.03709062 14.62825 15.21073 14.10847 5.185639
204.81834 31.186686 0.03764011 15.60865 16.3703 14.98827 3.215659
204.48882 31.386514 0.03939802 15.39026 16.1892 14.71451 2.388572
201.88266 31.695393 0.03868621 16.38361 16.93202 15.82187 2.593228
194.41274 32.559047 0.0376664 21.33424 21.36945 21.15544 0.686722
194.41274 32.559047 0.03765508 21.33424 21.36945 21.15544 0.686722
194.41136 32.555987 0.03701406 14.75423 15.31432 14.18399 6.775943
189.67067 32.773395 0.0381733 17.24929 17.94345 16.67573 2.728781
189.28987 32.755001 0.03842886 17.43057 17.81883 16.91074 1.560176
184.90717 32.723691 0.03756747 17.84088 18.23313 17.40634 1.993289
202.07251 31.191784 0.03752198 16.51354 16.90935 16.02983 5.228261
186.40412 31.948707 0.03772684 17.17045 17.66055 17.07475 4.52385
186.31695 32.012492 0.03813353 15.62347 16.45527 14.92553 2.193693
201.44985 30.05212 0.03769592 17.77674 17.91976 17.39363 3.114235
207.72336 29.472453 0.03839909 17.21432 17.75014 16.67278 1.919069
195.5236 29.112398 0.04921409 20.32281 20.67187 21.09198 0.7220112
185.54071 31.370443 0.04887564 16.23696 16.66991 15.83237 2.812707
185.53007 31.375058 0.04909344 17.52526 17.96581 17.03997 1.275147
197.20399 32.988201 0.04921835 15.20536 15.72488 14.68707 5.022801
200.06631 31.449117 0.04954401 15.18894 15.98086 14.50968 4.470977
201.03557 30.537367 0.04874323 17.49412 18.25825 16.90304 1.749551
181.84849 31.582307 0.04987981 16.7119 17.13649 16.29045 4.077951
208.44185 33.309815 0.04942538 17.68232 18.46512 16.90393 2.222343
209.80232 32.644452 0.0494948 16.61926 17.20055 16.08584 1.69112
209.72068 32.666858 0.04985268 16.46979 16.9885 16.08868 2.666502
209.64604 32.644343 0.04931644 16.82236 17.42623 16.23912 2.417929
209.60463 32.658774 0.04876674 15.62824 16.2073 15.0513 4.800345
209.52978 32.642778 0.04879563 15.0048 15.98116 14.84501 13.00654
209.53108 32.642321 0.0489032 14.13875 15.02894 13.6313 10.21175
209.44953 32.632845 0.04877378 16.02582 16.60865 15.46552 2.310296
208.57768 33.005723 0.04952144 16.17296 16.90624 15.44515 3.043024
190.40838 35.222955 0.04920232 16.51069 17.31069 15.87685 1.269947
190.40929 35.259231 0.04921393 17.60361 17.75018 17.82278 3.17203
181.36482 35.238811 0.04998615 17.05102 17.85057 16.52607 2.289207
195.886 33.655985 0.04911587 15.93717 16.44211 15.58796 5.846556
181.34586 38.238388 0.04991573 17.56612 18.23342 16.99529 1.674807
194.70318 36.141858 0.04946963 17.34711 17.68578 17.03651 1.92678
191.44736 36.280844 0.04905123 15.97452 16.81242 15.26226 1.456698
189.69719 36.568019 0.04973477 16.7159 17.31281 16.18312 2.134315
189.71997 36.534923 0.04968788 15.90333 16.54279 15.5106 1.625858
203.59432 35.684156 0.04883422 17.84081 18.26 17.54586 2.66788
203.42945 35.731858 0.04882143 16.49345 17.08496 15.97868 2.295193
