ID	VCC	Other	A_r	b/a	phi	g_A	R_50	&lt;mu&gt;^A_e	g	R_e	&lt;mu&gt;_e	R_90	c	Type	Notes	
			(arcsec)		(deg)	(mag)	(arcsec)	(^a)	(mag)	(arcsec)	(^a)	(arcsec)				
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	
72	571		46	0.51	107	14.998 +or- 0.069	9.9 +or- 0.7	21.97 +or- 0.17	14.976	10.1	21.991	25	2.49	S0		
73	21	I3025	52	0.62	100	14.632 +or- 0.058	11.0 +or- 0.7	21.84 +or- 0.16	14.573	11.9	21.942	32	2.93	D:	companion 20 " away	
74	1488	I3487	44	0.64	76	14.691 +or- 0.060	10.1 +or- 0.7	21.70 +or- 0.15	14.647	10.6	21.771	28	2.81	E:	companion 9" away	
75	1779	I3612	57	0.43	45	14.636 +or- 0.058	12.3 +or- 0.8	22.09 +or- 0.15	14.589	13.0	22.160	35	2.83	D:	companion 17" away	
76	1895	U7854	51	0.46	39	14.813 +or- 0.063	10.6 +or- 0.7	21.94 +or- 0.16	14.781	11.0	21.978	28	2.66	D:		
77	1499	I3492	26	0.67	59	14.844 +or- 0.064	5.8 +or- 0.4	20.67 +or- 0.16	14.796	6.2	20.745	17	2.84	E:		
78	1545	I3509	52	0.81	66	14.733 +or- 0.061	11.3 +or- 0.9	21.99 +or- 0.18	14.580	14.3	22.350	38	3.32	E		
79	1192	N4467	24	0.91	35	14.734 +or- 0.030	5.1 +or- 0.2	20.26 +or- 0.09	14.658	5.6	20.407	15	3.03	E	close to M49^b	
80	1857	I3647	97	0.46	143	14.741 +or- 0.062	22.4 +or- 1.1	23.48 +or- 0.13	14.731	22.5	23.483	48	2.12	D		
81	1075	I3383	84	0.73	26	14.713 +or- 0.062	18.2 +or- 1.2	23.00 +or- 0.16	14.647	19.8	23.126	54	2.98	D		
82	1948		54	0.70	85	15.333 +or- 0.081	12.7 +or- 1.1	22.85 +or- 0.20	15.298	13.2	22.894	34	2.71	D		
83	1627		18	0.97	127	15.072 +or- 0.071	4.0 +or- 0.3	20.10 +or- 0.15	15.042	4.2	20.136	11	2.64	E		
84	1440	I798	38	0.96	145	14.687 +or- 0.060	7.1 +or- 0.6	20.94 +or- 0.19	14.497	9.6	21.399	24	3.41	E		
85	230	I3101	43	0.77	33	15.455 +or- 0.086	9.3 +or- 0.8	22.30 +or- 0.20	15.421	9.6	22.339	25	2.69	D		
86	2050	I3779	51	0.53	125	15.087 +or- 0.072	11.1 +or- 0.7	22.32 +or- 0.16	15.053	11.6	22.362	30	2.69	D:		
87	1993		54	1.00	179	15.290 +or- 0.079	11.4 +or- 1.2	22.58 +or- 0.24	15.205	12.9	22.746	35	3.09	E		
88	751	I3292	45	0.71	135	14.592 +or- 0.057	10.1 +or- 0.7	21.60 +or- 0.16	14.518	11.1	21.744	31	3.03	D:		
89	1828	I3635	78	0.73	164	14.886 +or- 0.066	17.0 +or- 1.3	23.04 +or- 0.18	14.844	17.8	23.097	47	2.78	D		
90	538	N4309A	22	0.94	76	15.796 +or- 0.099	5.5 +or- 0.7	21.48 +or- 0.28	15.771	5.6	21.504	14	2.55	E	nearby companion 1&farcm;5 away^b	
91	1407	I3461	56	0.87	149	14.881 +or- 0.066	11.3 +or- 0.8	22.14 +or- 0.17	14.829	12.0	22.222	32	2.88	D		
92	1886		54	0.59	178	15.297 +or- 0.080	12.5 +or- 0.9	22.78 +or- 0.17	15.286	12.6	22.783	27	2.18	D		
93	1199		11	0.96	31	16.036 +or- 0.055	2.4 +or- 0.1	19.91 +or- 0.13	15.993	2.5	19.972	7	2.79	E	close to M49^b	
94	1743	I3602	55	0.44	129	15.315 +or- 0.080	12.4 +or- 1.2	22.77 +or- 0.22	15.282	12.8	22.817	33	2.69	D:		
95	1539		81	0.78	27	15.502 +or- 0.090	17.1 +or- 1.5	23.67 +or- 0.21	15.482	17.4	23.684	42	2.46	D		
96	1185		93	0.91	174	15.051 +or- 0.072	21.5 +or- 1.9	23.71 +or- 0.20	15.000	22.9	23.796	62	2.87	D		
97	1826	I3633	33	0.81	134	15.452 +or- 0.085	7.0 +or- 0.6	21.67 +or- 0.22	15.418	7.3	21.716	19	2.70	D:		
98	1512		59	0.84	51	15.541 +or- 0.090	11.4 +or- 1.4	22.82 +or- 0.28	15.338	15.8	23.327	39	3.44	D:		
E 99	1489	I3490	45	0.65	60	15.838 +or- 0.103	10.7 +or- 1.0	22.98 +or- 0.23	15.821	10.8	22.989	25	2.36	D:		
100	1661		76	0.80	27	15.755 +or- 0.101	16.9 +or- 1.7	23.88 +or- 0.24	15.745	16.9	23.884	36	2.12	D		

Notes. Key to columns: (1) Identification number from Cocircte et al. (2004). (2) Virgo Cluster Catalog (VCC) number from Binggeli et al. (1985). (3) Other names. (4) Aperture size (Ar = 2Rp) used in the COG analysis. (5) Axial ratio of galaxy measured at the 5sigma isophote. (6) Position angle of the galaxy measured at the 5sigma isophote. (7) Integrated g-band magnitude from the COG analysis. (8) Effective radius in the g band from the COG analysis. (9) Mean surface brightness within Re. (10) Sersic corrected COG total magnitude (Graham et al. 2005). (11) Sersic corrected COG effective radius (Graham et al. 2005). (12) Sersic corrected COG mean surface brightness (Graham et al. 2005). (13) Radius containing 90% of the Petrosian flux. (14) Concentration, c = R90/R50. (15) Consensus morphological type from P. Cocircte et al. (2010, in preparation). (16) Notes on galaxy and/or COG analysis.
a mag arcsec-2.
b Companion modeled and subtracted using GALFIT (Peng et al. 2002).
