20.13	 1.76	 0.91	23.6
     	 1.69	 0.81	26.0
     	 1.20	 0.89	24.3
     	 2.00	 0.86	24.9
     	 1.36	 0.66	24.0
     	 1.36	 0.88	24.7
     	 2.36	 0.89	25.0
     	 2.40	 0.39	26.7
     	     	     	    
     	 0.94	 0.90	25.0
     	 1.30	 0.95	23.8
     	 0.92	 0.64	25.4
     	     	     	    
     	 1.49	 0.96	25.6
     	 2.13	 0.56	25.3
     	 2.04	 1.03	24.5
     	 2.31	 0.61	25.3
     	 2.25	 1.57	23.9
     	 1.55	 1.07	24.0
     	 0.98	 0.61	25.2
     	 2.37	 1.24	23.8
     	 1.57	 0.63	25.2
     	 1.78	 1.13	23.1
     	 0.99	 1.01	25.1
     	     	     	    
     	 1.57	 0.97	25.1
     	 1.64	 1.18	23.8
     	 1.93	 1.21	23.4
     	 2.44	 1.24	23.0
     	 1.65	 1.48	23.1
     	 1.09	 0.64	24.9
     	 1.32	 0.79	24.1
     	     	     	    
     	 1.70	 1.14	23.2
     	 1.21	 0.96	24.3
     	 1.44	 1.03	23.6
     	 1.07	 1.35	25.1
     	 1.10	 0.41	24.4
     	     	     	    
     	 1.32	 1.21	25.2
     	 4.51	 0.85	24.6
     	 3.37	 0.99	23.0
     	 0.98	 0.75	25.7
     	 2.88	 1.78	24.3
     	 1.14	 0.76	25.7
     	 2.29	 1.49	23.1
     	 0.97	 0.66	25.6
     	 1.00	 0.80	25.6
     	 1.79	 0.72	25.0
     	 2.14	 1.12	23.1
     	 1.45	 1.61	23.7
     	     	     	    
     	 1.37	 0.82	23.7
     	 3.69	 0.98	24.1
     	 1.71	 1.51	24.3
     	 1.75	 0.90	23.7
     	     	     	    
     	 1.60	 1.13	25.1
     	 1.04	 0.94	25.4
     	 1.52	 0.71	24.1
     	 1.93	 0.74	26.0
     	 1.03	 0.55	26.0
     	 0.85	 0.62	26.2
     	     	     	    
     	 1.58	 0.86	24.1
     	     	     	    
     	 2.04	 0.72	24.1
     	 1.42	 0.69	26.0
     	 0.99	 1.00	24.1
     	 2.50	 0.79	24.8
     	 1.08	 0.54	26.1
     	 1.68	 0.87	24.0
     	 0.88	 0.73	24.8
     	 1.45	 0.98	23.2
     	 2.58	 1.20	22.9
     	 1.05	 0.51	25.4
     	 1.92	 0.83	24.2
     	 1.18	 0.73	24.2
     	 1.05	 0.61	24.1
     	     	     	    
     	 2.19	 1.31	24.4
     	 1.25	 0.98	23.5
     	 1.61	 0.72	25.4
     	 1.19	 0.75	24.2
     	     	     	    
     	 0.89	 0.62	25.3
     	 1.48	 0.50	26.4
     	 3.53	 0.96	24.1
     	     	     	    
     	     	     	    
     	 3.40	 1.18	24.1
22.42	 0.96	 0.55	25.3
20.73	 1.53	 0.77	24.1
18.86	 4.59	 2.16	22.6
21.24	 1.30	 0.53	24.9
     	 1.10	 0.84	24.1
     	 1.40	 1.09	25.4
     	 1.25	 0.85	24.9
     	     	     	    
     	 1.79	 0.96	24.9
     	 1.52	 0.71	24.7
     	 0.81	 1.35	24.1
     	 1.61	 0.67	24.4
     	 1.04	 0.41	26.1
     	     	     	    
     	 2.65	 1.31	23.1
     	 3.11	 1.05	23.1
     	 1.05	 1.31	23.8
     	 1.42	 0.86	24.1
     	 1.06	 0.68	24.9
     	 1.26	 0.56	24.6
22.33	 1.25	 0.84	25.4
     	 2.14	 1.07	23.8
     	 1.06	 0.79	24.0
20.05	 1.61	 0.68	23.4
     	 2.88	 1.53	25.2
     	     	     	    
     	 2.07	 1.08	24.1
     	 1.22	 0.80	23.8
     	 0.98	 0.80	25.7
     	 1.64	 1.01	23.3
     	     	     	    
     	 1.36	 0.97	23.5
21.64	 1.06	 0.83	24.4
     	 0.86	 0.60	25.0
     	 2.25	 1.06	23.6
     	 2.28	 0.72	25.1
     	 1.10	 0.94	24.2
22.39	 1.54	 0.33	26.2
20.43	 1.40	 0.82	23.8
     	 1.51	 0.61	26.2
     	 1.05	 0.62	24.5
     	 3.07	 1.18	24.0
19.93	 1.91	 1.17	23.3
     	 1.66	 0.76	24.7
22.49	     	     	    
     	 0.97	 0.72	24.9
     	     	     	    
21.08	 2.05	 1.26	24.3
     	 1.30	 0.73	24.6
     	 1.19	 0.85	24.0
22.82	     	     	    
     	 0.90	 0.79	25.7
     	 1.17	 0.71	23.7
     	 1.76	 1.16	24.1
     	 0.91	 0.63	25.0
     	 0.89	 0.88	25.4
     	 1.40	 0.60	26.1
     	 1.55	 0.76	23.8
     	 0.80	 0.66	25.8
19.56	 2.93	 1.21	23.1
19.92	 2.25	 0.90	24.0
22.47	 1.32	 0.66	25.8
22.49	 0.94	 0.55	25.4
21.88	 1.10	 0.58	25.3
     	 1.08	 0.40	25.9
     	 3.25	 1.03	23.9
     	 1.62	 0.97	23.6
     	 1.16	 0.58	24.1
     	 1.13	 0.82	24.3
20.88	 3.88	 1.00	24.8
     	 0.81	 0.74	26.0
22.17	 1.01	 0.93	24.7
     	 1.61	 1.05	23.9
21.39	 1.16	 0.70	24.7
     	 1.29	 0.58	25.5
21.19	 1.23	 0.69	24.4
     	 1.02	 0.73	24.7
     	     	     	    
     	 0.94	 0.58	26.0
22.37	 1.29	 1.01	25.4
     	 1.06	 0.96	24.4
21.74	 1.03	 1.29	24.0
     	     	     	    
     	     	     	    
20.12	 1.47	 1.18	23.4
20.62	 1.37	 0.96	23.5
     	 0.94	 0.69	24.7
     	 0.86	 0.60	25.8
     	 1.47	 1.10	24.0
21.54	     	     	    
     	 1.54	 0.59	25.8
21.20	 1.36	 0.83	24.6
     	     	     	    
21.47	 1.20	 0.88	24.1
23.28	 2.66	 0.83	25.6
     	 1.48	 0.57	26.0
     	 0.93	 0.53	25.5
     	 1.19	 0.87	24.2
22.17	 0.91	 0.76	25.0
21.62	 1.69	 0.86	25.2
21.80	 1.02	 0.53	25.2
20.70	 1.41	 0.92	23.9
22.63	 1.30	 0.86	25.3
     	 1.52	 0.95	23.6
     	 2.62	 1.39	24.0
20.76	 0.94	 0.91	23.6
22.01	 1.21	 0.60	25.4
22.24	 0.92	 0.45	25.5
     	 0.87	 0.93	24.2
22.31	 1.01	 0.93	24.9
     	 0.84	 0.45	25.3
20.78	 0.96	 1.05	23.6
20.09	 2.73	 1.91	23.0
22.71	 1.16	 0.81	25.6
20.72	 1.77	 1.28	23.9
20.77	 1.47	 0.74	24.0
20.74	 1.27	 1.00	23.6
20.08	 1.95	 1.66	23.0
20.96	 1.18	 0.76	24.1
     	 1.37	 1.02	23.7
