SMDG1220210+290833 185.0876923 29.1426334 24.0 23.5 23.2 0.1 0.1 0.2  6.5  0.1 0.92 0.01 156   7 19.2 18.7 18.8 0.1 0.1 0.1 
SMDG1221086+292921 185.2856445 29.4892635 24.7 24.3 23.9 0.1 0.1 0.2 18.3  0.4 0.64 0.01 179   1 18.4 18.1 17.9 0.1 0.1 0.1 
SMDG1221155+243617 185.3143768 24.6046295 25.0 24.5 24.2 0.1 0.1 0.3  5.6  0.2 0.98 0.04  76  54 20.3 19.9 20.0 0.1 0.1 0.1 
SMDG1221219+295404 185.3411407 29.9010525 25.0 24.6 24.1 0.1 0.1 0.3  7.5  0.3 0.73 0.02  92   4 20.2 20.0 20.0 0.1 0.1 0.1 
SMDG1221234+303644 185.3475189 30.6121578 25.1 24.7 24.5 0.1 0.1 0.3 18.8  0.6 0.63 0.01  65   1 18.8 18.3 18.5 0.1 0.1 0.5 
SMDG1221254+280820 185.3559265 28.1388187 25.7 25.2 24.4 0.3 0.3 0.6  9.0  0.7 0.53 0.03  92   4 21.2 20.1 20.8 0.1 0.2 0.2 
SMDG1221400+284347 185.4167480 28.7296066 24.6 24.0 23.7 0.1 0.1 0.2 11.5  0.3 0.63 0.01  78   2 19.2 18.6 18.6 0.1 0.1 0.1 
SMDG1221497+283111 185.4571533 28.5195942 25.3 25.0 24.5 0.2 0.2 0.4 21.4  1.1 0.63 0.02   9   2 19.0 18.5 18.5 0.1 0.1 0.1 
SMDG1221577+285308 185.4905090 28.8855247 24.7 24.3 24.3 0.2 0.2 0.4  5.9  0.3 0.65 0.03 118   4 20.8 20.2 19.8 0.1 0.1 0.1 
SMDG1221578+281436 185.4908752 28.2434082 24.6 24.2 23.8 0.1 0.1 0.2 23.4  0.8 0.63 0.01  96   1 18.0 17.7 17.3 0.1 0.1 0.1 
SMDG1222081+320734 185.5338440 32.1261406 25.2 24.9 24.1 0.3 0.3 0.6  5.4  0.4 0.74 0.05  90   9 21.6 20.8  0.0 0.1 0.1 0.0 
SMDG1222125+330921 185.5519104 33.1557732 24.5 24.1 23.7 0.1 0.1 0.3  8.6  0.2 0.62 0.01  16   2 19.7 19.1 19.4 0.1 0.1 0.1 
SMDG1222127+301412 185.5530548 30.2366943 25.0 24.4 24.1 0.2 0.2 0.4  6.9  0.4 0.49 0.02 115   3 20.7 20.5 19.9 0.1 0.1 0.2 
SMDG1222131+301827 185.5545349 30.3074703 25.0 24.6 24.1 0.2 0.2 0.8  8.0  0.5 0.73 0.04  16   6 20.4 19.7 20.2 0.1 0.1 0.6 
SMDG1222328+300028 185.6365509 30.0077343 25.5 25.1 25.0 0.3 0.3 1.0  5.5  0.5 0.87 0.07   4  23 21.6 20.9 20.6 0.1 0.1 1.5 
SMDG1222419+280325 185.6746521 28.0570488 25.7 25.2 24.2 0.2 0.2 0.3 17.3  0.9 0.46 0.02 101   2 19.9 19.3 17.4 0.1 0.1 1.7 
SMDG1223083+290247 185.7846680 29.0465031 24.0 23.6 23.1 0.1 0.1 0.1  8.4  0.1 0.81 0.01  92   2 18.8 18.4 18.1 0.1 0.1 0.1 
SMDG1223093+283233 185.7886353 28.5424442 24.7 24.2 23.7 0.1 0.1 0.2 10.1  0.3 0.94 0.02 153  14 19.2 18.8 18.6 0.1 0.1 0.1 
SMDG1223446+295952 185.9360352 29.9977303 24.1 23.8 23.4 0.1 0.1 0.2  9.7  0.2 0.60 0.01 135   1 19.1 18.7 18.7 0.1 0.1 0.1 
SMDG1224081+280545 186.0339203 28.0957737 24.3 23.7 23.3 0.1 0.1 0.1 12.4  0.2 0.71 0.01 156   1 18.6 18.1 17.8 0.1 0.1 0.1 
SMDG1224165+291507 186.0689545 29.2519760 24.2 23.9 23.6 0.1 0.1 0.3  5.5  0.2 0.97 0.03  42  38 20.0 19.4 19.3 0.1 0.1 0.1 
SMDG1225265+311646 186.3602905 31.2794952 24.0 23.7 23.3 0.1 0.1 0.1  8.5  0.1 0.76 0.01  12   1 18.3 17.9 17.7 0.1 0.1 0.1 
SMDG1228096+300844 187.0398407 30.1456566 25.6 25.1  0.0 0.3 0.3 0.0  5.3  0.5 0.60 0.04 138   6 22.1 21.2  0.0 0.1 0.1 0.0 
SMDG1228115+290105 187.0479889 29.0181847 24.1 24.0 23.8 0.1 0.1 0.3  5.3  0.2 0.61 0.02   4   2 20.4 20.2 19.9 0.1 0.1 0.1 
SMDG1228553+300223 187.2304840 30.0396976 25.5 25.2 24.7 0.2 0.2 0.5 11.4  0.6 0.69 0.03  33   4 20.3 19.7 20.1 0.1 0.1 0.1 
SMDG1228597+304422 187.2487640 30.7394028 25.3 24.9 24.4 0.2 0.2 0.5  8.6  0.5 0.69 0.03   4   5 20.5 20.0 20.1 0.1 0.1 0.2 
SMDG1229461+253819 187.4421539 25.6384945 25.2 24.7 24.3 0.3 0.3 0.4  5.5  0.4 0.73 0.06 158   9 21.3 20.9 20.4 0.1 0.1 0.1 
SMDG1230065+293358 187.5272369 29.5660114 24.8 24.7 24.4 0.2 0.2 0.3  5.7  0.3 0.65 0.03 150   4 21.1 20.6 20.0 0.1 0.1 0.1 
SMDG1230260+300221 187.6082153 30.0390682 24.2 23.8 23.3 0.1 0.1 0.1 15.3  0.3 0.90 0.01  56   4 17.4 17.3 16.7 0.1 0.1 0.2 
SMDG1230456+264650 187.6898956 26.7805481 24.0 23.4 23.0 0.1 0.1 0.1  5.8  0.1 0.70 0.01  72   2 19.9 19.2 19.1 0.1 0.1 0.1 
SMDG1231185+290227 187.8271332 29.0409050 26.0 25.6 23.8 0.4 0.5 0.6  6.9  0.8 0.66 0.06  31   9 21.7 20.7 19.8 0.1 0.7 1.3 
SMDG1231377+203617 187.9070282 20.6046009 25.5 25.2  0.0 0.4 0.5 0.0  7.1  1.1 0.47 0.05   4   6 21.5 20.6  0.0 0.1 4.0 0.0 
SMDG1231418+264434 187.9240265 26.7427979 24.3 23.8 23.5 0.1 0.1 0.2  6.7  0.2 0.50 0.01  78   2 20.3 19.8 19.4 0.1 0.1 0.1 
SMDG1231518+235806 187.9656830 23.9682312 25.0 24.4 23.9 0.2 0.3 0.4  5.4  0.4 0.50 0.03 123   3 21.2 21.0 20.3 0.1 0.1 0.1 
SMDG1232320+201407 188.1331940 20.2353153 24.6 24.2 23.4 0.2 0.2 0.3  6.8  0.3 0.75 0.03   2   6 20.2 19.8 18.3 0.1 0.1 1.3 
SMDG1233478+230210 188.4490967 23.0361767 25.0 24.6 23.5 0.2 0.4 0.5  5.4  0.4 0.69 0.05  65   7 20.8 20.4 18.6 0.1 0.1 1.7 
SMDG1235424+263714 188.9265747 26.6206207 25.4 25.6 23.7 0.2 0.6 0.3  8.6  0.6 0.53 0.03  74   3 20.1 19.6 20.4 0.4 0.8 0.3 
SMDG1235482+191535 188.9506378 19.2595844 25.3 25.0 24.2 0.2 0.3 0.5  6.9  0.5 0.78 0.05   5  10 20.7 20.5 19.6 0.1 0.1 0.3 
SMDG1236252+260314 189.1048279 26.0537796 25.6 24.0 22.2 0.3 0.3 0.2  5.4  0.4 0.53 0.03  15   3 21.4 20.6 21.0 0.1 0.1 0.9 
SMDG1236306+284137 189.1276093 28.6937084 25.0 24.6 24.1 0.2 0.2 0.3  6.4  0.3 0.55 0.02 146   2 20.3 19.9 19.8 0.1 0.1 0.1 
SMDG1236383+233223 189.1593781 23.5397816 25.7 25.5 25.2 0.2 0.3 0.6 14.9  1.0 0.72 0.03  63   5 19.8 19.7 19.4 0.1 0.1 0.4 
SMDG1237276+333051 189.3648834 33.5140495  0.0  0.0 23.8 0.0 0.0 0.3  9.0  1.1 0.82 0.09 145  19  0.0  0.0 18.8 0.0 0.0 0.1 
SMDG1237294+204442 189.3723450 20.7450237 24.1 24.1 24.0 0.1 0.1 0.3  6.4  0.2 0.65 0.01  30   2 20.0 19.9 19.9 0.1 0.1 0.1 
SMDG1237428+263727 189.4283142 26.6242561 24.1 23.7 23.2 0.1 0.1 0.2  5.7  0.2 0.59 0.01 155   2 20.2 19.7 19.3 0.1 0.1 0.1 
SMDG1237460+241539 189.4417725 24.2608776 24.7 24.3 23.7 0.1 0.1 0.2  7.2  0.3 0.64 0.02  28   2 20.3 19.8 19.5 0.1 0.1 0.1 
SMDG1238305+274355 189.6269684 27.7318325 24.5 24.2 24.0 0.2 0.2 0.2  6.0  0.3 0.70 0.03 161   4 20.3 20.0 19.9 0.1 0.1 0.1 
SMDG1239136+282717 189.8065796 28.4547138 24.2 23.8 23.3 0.1 0.1 0.1 14.6  0.2 0.60 0.01 171   1 18.3 17.7 17.6 0.1 0.1 0.1 
SMDG1239266+274737 189.8608398 27.7935562 24.4 23.9 23.5 0.1 0.1 0.1  7.2  0.2 0.94 0.02  68  11 19.6 19.1 18.6 0.1 0.1 0.1 
SMDG1239475+195309 189.9479675 19.8856983 25.1 24.9 24.2 0.3 0.3 0.6  6.6  0.6 0.50 0.03 129   4 21.5 20.7 21.3 0.1 0.1 0.1 
SMDG1239502+244950 189.9591522 24.8305721 25.0 24.7 24.4 0.1 0.2 0.2 16.6  0.6 0.68 0.02  98   2 19.0 18.6 18.5 0.1 0.1 0.1 
SMDG1240119+251447 190.0495911 25.2464466 24.3 23.9 23.6 0.1 0.1 0.2  7.1  0.2 0.59 0.01 104   2 19.8 19.7 19.4 0.1 0.1 0.1 
SMDG1240403+303753 190.1677704 30.6314697 26.1  0.0  0.0 0.4 0.0 0.0 13.3  1.9 0.72 0.07 151  11 18.4  0.0  0.0 2.3 0.0 0.0 
SMDG1240530+321656 190.2208862 32.2821465 24.3 23.8 23.5 0.1 0.1 0.1 11.2  0.2 0.62 0.01 130   1 18.9 18.5 18.2 0.1 0.1 0.1 
SMDG1240591+292907 190.2463684 29.4852047 25.2 24.8 24.3 0.3 0.3 0.5  6.4  0.5 0.66 0.04 121   6 20.9 20.6 20.1 0.1 0.1 0.3 
SMDG1241049+293446 190.2703552 29.5794563 25.5 25.0 24.8 0.4 0.4 0.7  5.3  0.6 0.66 0.06 149   9 21.8 21.2 20.7 0.1 0.2 0.2 
SMDG1241437+261351 190.4319000 26.2307663 24.8 24.3 24.2 0.1 0.2 0.4  7.7  0.4 0.44 0.02 129   2 20.5 20.5 19.9 0.1 0.1 0.2 
SMDG1242314+315809 190.6307983 31.9692574 24.3 23.7 23.4 0.1 0.1 0.2  9.0  0.3 0.74 0.02  54   3 19.4 18.8 18.2 0.1 0.1 0.1 
SMDG1242371+183153 190.6545563 18.5315247 24.5 24.0 23.7 0.2 0.2 0.4  7.2  0.4 0.69 0.03  46   5 19.9 19.8 19.5 0.1 0.1 0.1 
SMDG1242514+254921 190.7142792 25.8224831 24.9 24.6 24.3 0.2 0.2 0.3  6.7  0.3 0.75 0.03 121   6 20.4 20.0 19.8 0.1 0.1 0.2 
SMDG1242531+322719 190.7210541 32.4553146 25.7 25.2 25.9 0.3 0.3 1.2 13.2  1.0 0.96 0.05  82  43 19.9 19.3 18.9 0.1 0.2 3.1 
SMDG1243082+255228 190.7840424 25.8745632 24.6 24.2 23.9 0.2 0.2 0.4  6.0  0.3 0.48 0.02  18   2 20.8 21.0 20.1 0.1 0.1 0.1 
SMDG1243448+323203 190.9365692 32.5342751 24.3 23.8 23.5 0.1 0.1 0.1 12.9  0.2 0.65 0.01 124   1 18.5 18.1 17.9 0.1 0.1 0.1 
SMDG1244270+194411 191.1123962 19.7363834 25.3 25.1 24.5 0.3 0.3 0.5  6.6  0.5 0.55 0.04  79   5 21.3 20.5 20.0 0.1 0.2 0.1 
SMDG1245276+181803 191.3649445 18.3007507 24.7 24.4 24.4 0.5 0.5 0.5 75.2 10.1 0.72 0.01 115   2 18.0 17.8 17.5 0.1 0.1 0.2 
SMDG1245301+191013 191.3756104 19.1702442 24.3 23.8 23.3 0.1 0.1 0.2  7.4  0.2 0.50 0.01  80   2 19.3 18.7 18.5 0.2 0.2 0.2 
SMDG1245407+295232 191.4194946 29.8756733 25.3 24.7 24.6 0.3 0.4 0.5  5.8  0.5 0.56 0.04 135   5 21.7 21.2 20.5 0.1 0.2 0.2 
SMDG1245547+264841 191.4777374 26.8113804 25.8 25.5 24.1 0.4 0.5 0.6  9.5  1.2 0.77 0.06  19  12 21.2 20.6 20.9 0.1 0.2 0.8 
SMDG1246113+265124 191.5472565 26.8566513 24.5 24.4 24.1 0.1 0.2 0.3  5.6  0.2 0.70 0.02  40   4 20.7 20.4 20.1 0.1 0.1 0.1 
SMDG1247231+180142 191.8462219 18.0284157 24.7 24.3 24.2 0.2 0.2 0.4 21.4  1.0 0.70 0.02 138   2 18.3 17.9 17.9 0.1 0.1 0.5 
SMDG1247307+185501 191.8777771 18.9168530 25.7 25.2 24.6 0.4 0.4 0.7  6.8  0.7 0.56 0.05 108   6 21.7 21.1 20.7 0.1 0.1 0.4 
SMDG1247354+265322 191.8974762 26.8893318 24.9 24.4 24.0 0.2 0.3 0.3  5.5  0.3 0.76 0.04  43   7 20.6 20.5 19.8 0.1 0.1 0.2 
SMDG1247380+331358 191.9081879 33.2328796 24.0 23.7 23.3 0.1 0.1 0.2  6.9  0.2 0.50 0.01  45   1 19.9 19.3 18.9 0.1 0.1 0.2 
SMDG1248044+175810 192.0184479 17.9695663 25.3 25.0 24.5 0.5 0.4 0.6  5.4  0.6 0.39 0.04  14   4 22.4 21.3 20.8 0.1 0.1 0.1 
SMDG1249147+280316 192.3112640 28.0544853 25.1 24.6 24.0 0.3 0.2 0.3  6.0  0.4 0.60 0.03  96   4 21.3 20.5 20.1 0.1 0.1 0.1 
SMDG1249292+193837 192.3717804 19.6437187 25.2 24.7 24.2 0.2 0.2 0.5  8.0  0.4 0.70 0.03 103   5 20.6 19.9 20.4 0.1 0.1 0.2 
