Filename_corr,RA_corr,dec_corr,Rearcsec,AR,n,mu_0_g,mu_0_z,mag_g,tau,WISE,classALL
SMDG0237285+023055,39.36887,2.51537,8.49,0.435,1.157,22.755,22.333,18.413,0.02859,0.03548,3
SMDG0247360-030020,41.90017,-3.00563,5.59,0.979,1.028,23.132,0.0,18.594,0.02459,-0.00623,3
SMDG0215516-000628,33.96512,-0.10768,5.97,0.937,0.963,23.584,22.906,18.841,0.02517,0.05309,3
SMDG0227393+005541,36.9137,0.92802,8.09,0.781,1.098,23.456,22.946,18.481,0.01628,0.04269,3
SMDG0215265+014214,33.86028,1.70393,5.62,0.959,0.868,23.74,23.096,18.947,0.03816,0.05351,3
SMDG0205375-022021,31.40616,-2.33915,5.53,0.753,1.156,23.136,22.48,19.128,0.0141,0.03316,3
SMDG0213020+023850,33.25844,2.64733,7.43,0.84,1.641,22.734,21.959,18.845,0.03189,0.05195,3
SMDG0203277+002620,30.86546,0.43887,6.78,0.723,0.732,23.491,22.899,18.381,0.01389,0.04523,3
SMDG0246475-015853,41.69789,-1.98145,5.5,0.883,0.89,23.311,22.661,18.69,0.03681,-0.007,3
SMDG0152386-005351,28.16066,-0.89736,5.86,0.661,1.174,22.926,22.181,18.965,0.0195,0.05457,3
SMDG0158488-020918,29.70334,-2.1549,6.96,0.638,1.418,22.662,22.039,18.802,0.0124,0.03383,3
SMDG0212074+013345,33.03082,1.56248,6.78,0.768,1.024,23.612,22.863,18.912,0.02353,0.03829,3
SMDG0246540-005728,41.72508,-0.95781,7.0,0.827,1.02,23.183,22.28,18.327,0.03453,0.03423,3
SMDG0207190+020624,31.82936,2.10676,6.02,0.706,1.034,23.374,22.265,19.041,0.02296,0.04707,3
SMDG0154293-004525,28.62223,-0.75684,7.43,0.815,1.043,23.15,22.502,18.219,0.02254,0.04898,3
SMDG0249310-025927,42.37936,-2.99075,5.71,0.746,1.08,23.444,22.746,19.244,0.03255,0.04352,3
SMDG0223107+023209,35.79478,2.53592,9.23,0.656,0.758,23.754,23.059,18.12,0.02733,0.04173,3
SMDG0158329+010255,29.63705,1.04857,5.38,0.512,1.026,23.888,23.186,20.134,0.01683,0.03317,3
SMDG0247101-015814,41.79207,-1.9705,8.75,0.948,1.004,23.426,22.628,17.91,0.03447,0.00236,3
SMDG0153293-021833,28.37196,-2.30919,12.63,0.694,1.264,22.741,21.975,17.219,0.01857,0.02437,3
SMDG0155292-005351,28.87175,-0.89759,5.9,0.603,1.046,23.818,23.234,19.72,0.02006,0.04462,3
SMDG0220364+005629,35.15182,0.94149,5.01,0.711,0.961,22.942,22.378,18.876,0.03176,0.04327,3
SMDG0212555-002802,33.23135,-0.46725,11.49,0.88,1.065,22.889,22.271,16.966,0.02625,0.03977,3
SMDG0158215-025712,29.58973,-2.95328,8.42,0.603,0.93,23.799,23.243,18.733,0.01942,0.04398,3
SMDG0142341+025549,25.64193,2.93028,12.36,0.791,0.799,23.588,22.967,17.181,0.02325,0.03479,3
SMDG0233235-003231,38.34792,-0.54202,5.6,0.63,0.951,23.649,23.117,19.456,0.01599,0.04256,3
SMDG0246569-003127,41.7369,-0.52427,5.3,0.465,0.988,23.127,22.293,19.446,0.02984,0.04296,3
SMDG0156011-020223,29.00438,-2.03976,5.0,0.939,0.672,23.573,22.684,18.749,0.01245,0.02527,3
SMDG0232312+001210,38.13004,0.20273,5.33,0.654,0.923,23.342,22.568,19.169,0.01759,0.03807,3
SMDG0243332+011129,40.88816,1.19146,7.28,0.673,1.635,22.872,22.337,19.257,0.02839,0.04477,3
SMDG0156354-024008,29.14742,-2.66879,5.52,0.462,1.084,23.482,22.858,19.883,0.01351,0.02467,3
SMDG0217093+010107,34.28882,1.01848,7.24,0.498,0.819,23.858,23.057,19.147,0.02696,0.05007,3
SMDG0249247-005625,42.35283,-0.94029,5.75,0.827,0.746,23.251,22.689,18.374,0.04612,0.0493,3
SMDG0240376+013456,40.15669,1.58225,5.66,0.948,0.78,23.319,22.744,18.382,0.02383,0.01023,3
SMDG0152267-023714,28.11112,-2.62068,5.52,0.685,0.808,23.229,22.345,18.743,0.02275,0.029,3
SMDG0220501-011944,35.20858,-1.32884,7.27,0.873,1.096,22.987,22.231,18.12,0.02162,0.04941,3
SMDG0201550+013319,30.47905,1.5554,6.2,0.573,1.046,23.413,22.709,19.263,0.02955,0.0441,3
SMDG0207186+001833,31.8276,0.30905,6.97,0.519,1.015,23.019,22.343,18.669,0.01954,0.03124,3
SMDG0220373+022424,35.15537,2.40663,8.91,0.797,1.327,22.835,22.0,18.033,0.04024,0.08226,3
SMDG0240437-020502,40.18213,-2.08402,6.3,0.691,1.131,22.846,22.335,18.604,0.01485,0.05122,3
SMDG0155107-001555,28.79462,-0.26541,11.52,0.738,1.176,23.562,22.852,18.017,0.02036,0.03454,3
SMDG0145364-004903,26.40186,-0.81752,5.82,0.546,0.87,23.081,22.565,18.826,0.01482,0.03298,3
SMDG0212251+023500,33.10473,2.5833,8.86,0.768,1.355,22.816,22.231,18.117,0.03021,0.04979,3
